original_taxa,accepted_taxref,sdist
Helleborus purpurascens,NA,NA
Linaria amethystea,NA,NA
Aspaacut,Asparagus acutifolius,NA
Podospermum picroides,Urospermum picroides,NA
Fumaria rostellata,NA,NA
Dicotyledonae,NA,NA
Silena gallica,Silene gallica,0.153462000000000
Agrimonia agrimonoides,NA,NA
Doricnium pethapillum,Dorycnium pentaphyllum,0.148532000000000
Odontites jaubertianus var chrysanthus,Odontites jaubertianus,0.146140000000000
Viola kaitaibeliana,Viola kitaibeliana,0.140072000000000
Vicia ciliata,NA,NA
Pilosella spp ?,Pilosella,0.130667000000000
Centaurea argentea,NA,NA
Brassica carinata,NA,NA
Petrorhargia prolifera,Petrorhagia prolifera,0.119530000000000
Helminthotheca comosa,NA,NA
Scirpus silvaticus,Scirpus sylvaticus,0.106554000000000
Chaenorrhinum minus minus,Chaenorhinum minus,0.104533000000000
Ornithogalum Muscari,NA,NA
Sporobulus,Sporobolus,0.10163000000000
Ornithogalum boucheanum,Ornithogalum bourgaeanum,0.101551000000000
Poaceae sp,Poaceae,0.098
Melilotus alba,Melilotus albus,0.0933330000000000
Carex muricata gpe,Carex muricata,0.0907410000000000
Atriplex cf,Atriplex,0.089091000000000
Cruciata laevipes opiz,Cruciata laevipes,0.089091000000000
Lathyrus sativa,Lathyrus sativus,0.0871110000000000
Odontites verna,Odontites vernus,0.0871110000000000
Bromus squarossus,Bromus squarrosus,0.0806260000000000
Sheradia arvensis,Sherardia arvensis,0.079265000000000
Urtica dioïca,Urtica dioica,0.0774790000000000
Juncus effusum,Juncus effusus,0.0717950000000000
Trifolium campestris,Trifolium campestre,0.0671480000000000
Senecio jacobea,Senecio jacobaea,0.066889000000000
Cornonilla varia,Coronilla varia,0.0644940000000000
Oreganum vulgare,Origanum vulgare,0.06325
Loncomelos narbonensis,Loncomelos narbonense,0.060879000000000
Vicia fabia,Vicia faba,0.0593940000000000
Paspalum dilatum,Paspalum dilatatum,0.0588480000000000
Picris angustifolia,Iris angustifolia,0.0526320000000000
Crepis bienis,Crepis biennis,0.0502560000000000
Loncomelos pyrenaicus,Loncomelos pyrenaicum,0.0474440000000000
Geranium pheum,Geranium phaeum,0.0466670000000000
Thlapsi arvense,Thlaspi arvense,0.0451110000000000
Crategus monogyna,Crataegus monogyna,0.0384310000000000
Amaranthus powelii,Amaranthus powellii,0.0362960000000000
Cirsium erisitales,Cirsium erisithales,0.0362960000000000
Chaenorrhinum minus,Chaenorhinum minus,0.0343860000000000
Portulaca oleraceae,Portulaca oleracea,0.0343860000000000
Tyrmnus leucographus,Tyrimnus leucographus,0.0328330000000000
Cynoglosum officinale,Cynoglossum officinale,0.0311110000000000
Epibolium angustifolium,Epilobium angustifolium,0.0292000000000000
Rumex thyrsiflorus,Rumex thyrsiflorus,0.0181480000000000
Viola reichenbachiana,Viola reichenbachiana,0.0155560000000000
,,
,,

